epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,163.732,1.6966,1.10478,1.06371,0.75291,0.57985,0.61599,0.27141,2.11264,1.41608,1.23382,0.000258355,0.000258355,0.000258355
77,165.748,1.68025,1.11467,1.09648,0.74335,0.57705,0.60793,0.26123,2.17854,1.43177,1.26133,0.000240316,0.000240316,0.000240316
78,167.713,1.65701,1.07607,1.08687,0.72773,0.58322,0.61982,0.26376,2.14594,1.396,1.241,0.00022287,0.00022287,0.00022287
79,169.737,1.57526,1.00068,1.03201,0.71761,0.58998,0.63479,0.28193,2.09337,1.35255,1.21037,0.000206034,0.000206034,0.000206034
80,171.921,1.65325,1.04592,1.06723,0.76232,0.57647,0.64106,0.28279,2.09708,1.34661,1.21471,0.000189827,0.000189827,0.000189827
81,174.104,1.65323,1.03177,1.06955,0.78674,0.58322,0.63552,0.27073,2.09282,1.34686,1.22079,0.000174262,0.000174262,0.000174262
82,176.139,1.66,1.0908,1.09371,0.7652,0.59336,0.63785,0.27306,2.10553,1.34666,1.22384,0.000159357,0.000159357,0.000159357
83,178.295,1.64963,1.06067,1.06202,0.76412,0.60218,0.6406,0.2697,2.10634,1.33908,1.21998,0.000145125,0.000145125,0.000145125
84,180.461,1.65491,0.99573,1.04882,0.75374,0.59336,0.61639,0.26909,2.09785,1.33059,1.21295,0.000131581,0.000131581,0.000131581
85,182.48,1.6126,1.03494,1.05684,0.75814,0.60012,0.63192,0.27643,2.09211,1.34418,1.20779,0.000118737,0.000118737,0.000118737
86,184.572,1.58715,0.9839,1.05432,0.76039,0.60349,0.63118,0.27141,2.09067,1.35162,1.20722,0.000106608,0.000106608,0.000106608
87,186.626,1.66947,1.00718,1.06721,0.7772,0.60893,0.64524,0.27366,2.08379,1.35089,1.21154,9.52034e-05,9.52034e-05,9.52034e-05
